Datetime,SPY_Daily_Close,Change_1D_%,Volume_1D_%,Change_2D_%,Volume_2D_%,Change_3D_%,Volume_3D_%,Change_5D_%,Volume_5D_%,NextDay_Hour1_Return_%,NextDay_Hour1_Open_Positive,NextDay_Hour2_Return_%,NextDay_Hour2_Open_Positive,NextDay_Hour3_Return_%,NextDay_Hour3_Open_Positive,EURUSD=X_Daily_Close,EURUSD=X_Change_1H_%,EURUSD=X_Change_7H_%,EURUSD=X_Change_24H_%,^FTSE_Daily_Close,^FTSE_Change_1H_%,^FTSE_Change_24H_%,^NQSG_Daily_Close,^NQSG_Change_24H_%
2022-06-03 00:00:00+00:00,410.5899963378906,-1.63,-4.13,0.24,-13.75,-0.57,-2.11,1.31,-11.58,0.28,1.0,-0.33,0.0,-0.83,0.0,1.072041153907776,-0.01071837936322817,-0.0536022537174663,-0.27872929337753316,7529.25,-0.4525691950946209,-0.9546375196574419,936.3591918945312,1.2042141955495689
2022-06-06 00:00:00+00:00,411.7699890136719,0.29,-22.13,-1.34,-20.1,0.52,-17.76,-0.86,-6.34,0.75,1.0,0.86,1.0,0.76,1.0,1.069404363632202,-0.021387017757046323,-0.08554885868958806,-0.320822268596721,7617.6298828125,-0.2794888546748031,-0.07765308847802466,935.8995971679688,1.8051453038098186
2022-06-07 00:00:00+00:00,415.7000122070313,0.95,-0.86,1.24,-24.1,-0.4,-25.24,0.67,-16.2,0.11,1.0,0.32,1.0,0.02,1.0,1.0699764490127563,-0.07490252262745134,-0.03209892081021959,0.053495702842587534,7602.0498046875,-0.004739964762412452,0.013939898353076963,936.7156982421876,0.9459238490915789
2022-06-08 00:00:00+00:00,411.2799987792969,-1.06,7.01,-0.12,-10.15,0.17,-26.33,0.41,-21.8,0.25,1.0,-0.21,0.0,-0.04,0.0,1.0722709894180298,0.010718379363261477,-0.08578648085927343,0.21444774858274673,7588.7900390625,0.1491233157416616,-0.6566367755713287,935.2993774414062,0.1599139421675666
2022-06-09 00:00:00+00:00,401.4700012207031,-2.39,35.15,-3.42,25.27,-2.5,-3.8,-3.81,-18.63,-1.17,0.0,-1.14,0.0,-1.02,0.0,1.0622477531433103,0.05312119886156097,-0.30804467151189785,-0.9347670853390833,7483.080078125,-0.03633181000641805,-1.596167031400031,928.1588134765624,-0.8396087720467404
2022-06-10 00:00:00+00:00,389.80999755859375,-2.9,53.74,-5.22,77.27,-6.23,43.45,-5.06,-4.83,-0.7,0.0,-0.65,0.0,-0.21,0.0,1.0526316165924072,0.07368864360763894,-0.09473340855736812,-0.8947305746359158,7315.93017578125,-0.15257977167812964,-3.4861892336166878,915.459716796875,-2.4759796848961124
2022-06-13 00:00:00+00:00,375.010009765625,-3.8,20.48,-6.59,94.81,-8.82,106.2,-8.93,25.21,-0.72,0.0,-0.72,0.0,-0.87,0.0,1.0418837070465088,0.07292537944036948,-0.20837605518206903,-0.6980599548276012,7205.5498046875,0.23941495966504078,-4.704878912213728,898.9003295898438,-4.317055012819271
2022-06-14 00:00:00+00:00,373.8299865722656,-0.31,-29.81,-4.1,24.24,-6.88,92.88,-10.07,50.28,0.41,1.0,-0.08,0.0,0.27,1.0,1.0440592765808103,0.10439966762179065,0.16704793610133883,0.20881116765600893,7191.0400390625,-0.2516255146416069,-2.511554173913466,890.238525390625,-4.838497742391057
2022-06-15 00:00:00+00:00,379.1300048828125,1.42,15.52,1.1,-17.33,-2.74,42.02,-7.82,81.66,-0.43,0.0,-0.65,0.0,-0.78,0.0,1.0460251569747925,0.1359842579619963,0.7217552893959978,0.18829202882237883,7280.52978515625,-0.2983988593629028,1.3995708317369182,890.41748046875,-4.906419654281136
2022-06-16 00:00:00+00:00,366.8900146484375,-3.23,1.58,-1.86,-3.96,-2.17,-1.41,-8.61,91.76,-0.25,0.0,0.26,1.0,0.04,1.0,1.0549635887145996,0.0,-0.10549697246490242,0.854514031541842,7049.490234375,-0.015879887385072955,-1.8107135152516385,890.9555053710938,-4.802234335058564
